#Speed	Angle	Frequency	Area	Stdev
0.25	120	8	0.914760346547	0.197433870283
0.5	120	8	1.80959536911	0.360560821881
0.75	120	8	2.75766668213	0.607909393045
1.0	120	8	3.74527527045	0.726483481679
1.25	120	8	4.54335477002	1.00261487073
1.5	120	8	5.47461294158	1.1595642339
1.75	120	8	6.23053931103	1.22586412521
2.0	120	8	7.11159626826	1.48271945773
2.25	120	8	8.38183568641	1.63308167653
2.5	120	8	9.01417881705	1.92831079601
2.75	120	8	10.5913272651	2.22269537415
3.0	120	8	11.2417711063	2.54163411954
3.25	120	8	12.2388287177	2.49003039007
3.5	120	8	12.8672945017	3.21630146605
3.75	120	8	13.7568077706	2.96164828529
4.0	120	8	14.848584376	3.1994850485
