#Speed	Angle	Frequency	Area	Stdev
0.125	30	13	0.976224588892	0.133813264993
0.25	30	13	1.94023272512	0.274642265987
0.5	30	13	3.90515544965	0.544141282565
0.75	30	13	5.80668831698	0.835219599384
1.0	30	13	7.80792729431	1.08032355438
1.25	30	13	9.83931851316	1.4470333426
1.5	30	13	11.7723239106	1.70158264721
1.75	30	13	13.6475305288	1.8895108331
2.0	30	13	15.6566153413	2.15657174998
2.25	30	13	17.4986872802	2.45875838876
2.5	30	13	19.4535731982	2.7827375041
2.75	30	13	21.7004525865	2.90967114208
3.0	30	13	23.6105597015	3.11373085128
3.25	30	13	25.4799403956	3.51949444245
3.5	30	13	27.3011158704	3.88763385525
3.75	30	13	29.1592458791	4.18695645801
4.0	30	13	31.4537322627	4.23917532561
