#Angle,Frequency,Speed,Average_Time,Errors,Capped_Errors,Failure_rate
0,1,0.27,0.1598543619,0.2115384615,0.2115384615,0
0,2,0.27,0.153321207,0.0961538462,0.0961538462,0
0,4,0.27,0.1414127718,0.1153846154,0.1153846154,0
0,8,0.27,0.1468658617,0.1346153846,0.1346153846,0
0,13,0.27,0.1527024024,0.1923076923,0.1923076923,0
0,20,0.27,0.1509183479,0.1730769231,0.1730769231,0
0,30,0.27,0.1627190679,0.1730769231,0.1730769231,0
30,1,0.27,0.1500432688,0.25,0.25,0
30,2,0.27,0.1487232024,0.2307692308,0.2307692308,0
30,4,0.27,0.1669990778,0.2692307692,0.2692307692,0
30,8,0.27,0.1691411713,0.2884615385,0.2884615385,0
30,13,0.27,0.1682040999,0.3653846154,0.3653846154,0
30,20,0.27,0.1631812097,0.3269230769,0.3269230769,0
30,30,0.27,0.1896187701,0.2692307692,0.2692307692,0
60,1,0.27,0.1666538986,0.2115384615,0.2115384615,0
60,2,0.27,0.1457178988,0.1346153846,0.1346153846,0
60,4,0.27,0.1627901775,0.4230769231,0.4230769231,0
60,8,0.27,0.193549917,0.4038461538,0.4038461538,0
60,13,0.27,0.192021607,0.8076923077,0.8076923077,0
60,20,0.27,0.2019152025,0.6923076923,0.6923076923,0
60,30,0.27,0.1823593898,0.4038461538,0.4038461538,0
90,1,0.27,0.1560900956,0.1538461538,0.1538461538,0
90,2,0.27,0.1593679481,0.2692307692,0.2692307692,0
90,4,0.27,0.1797245029,0.1923076923,0.1923076923,0
90,8,0.27,0.1805751022,0.2884615385,0.2884615385,0
90,13,0.27,0.2064054733,0.4038461538,0.4038461538,0
90,20,0.27,0.1581288801,0.3461538462,0.3461538462,0
90,30,0.27,0.166102221,0.2692307692,0.2692307692,0
120,1,0.27,0.160417553,0.25,0.25,0
120,2,0.27,0.1661772768,0.4423076923,0.4423076923,0
120,4,0.27,0.1972485239,0.5961538462,0.5961538462,0
120,8,0.27,0.1822972107,0.5961538462,0.5961538462,0
120,13,0.27,0.1574267626,0.1923076923,0.1923076923,0
120,20,0.27,0.1512312122,0.2307692308,0.2307692308,0
120,30,0.27,0.1699993579,0.3076923077,0.3076923077,0
180,1,0.27,0.1736741921,0.4807692308,0.4807692308,0
180,2,0.27,0.1946337945,0.4423076923,0.4423076923,0
180,4,0.27,0.1743476195,0.3653846154,0.3653846154,0
180,8,0.27,0.1698197637,0.25,0.25,0
180,13,0.27,0.165647707,0.2115384615,0.2115384615,0
180,20,0.27,0.1475380691,0.1153846154,0.1153846154,0
180,30,0.27,0.1457010725,0.1153846154,0.1153846154,0
0,1,0.54,0.1589674502,0.3269230769,0.3269230769,0
0,2,0.54,0.1664109603,0.4615384615,0.4615384615,0
0,4,0.54,0.1579157279,0.3269230769,0.3269230769,0
0,8,0.54,0.161266261,0.3653846154,0.3653846154,0
0,13,0.54,0.1704129716,0.2884615385,0.2884615385,0
0,20,0.54,0.1584676971,0.25,0.25,0
0,30,0.54,0.156329497,0.2115384615,0.2115384615,0
30,1,0.54,0.181766435,0.5576923077,0.5576923077,0
30,2,0.54,0.1760956864,0.3653846154,0.3653846154,0
30,4,0.54,0.2074964635,0.8461538462,0.8461538462,0
30,8,0.54,0.2212036273,0.9807692308,0.9807692308,0
30,13,0.54,0.1766290453,0.7307692308,0.7307692308,0
