Angle	Frequency	m	p

0.5	0.5	9.99797313064	-1.29992684688e-06
1	0.5	9.99789615697	-3.8444091587e-06
2	0.5	9.99754078113	3.34796571792e-05
4	0.5	9.9963045626	-0.000135104270474
8	0.5	9.99134240211	-0.000652496138926
16	0.5	9.96867109973	0.00214451985074
24	0.5	9.93468897763	0.000186635040402
32	0.5	9.89180947193	-0.00581463660307
40	0.5	9.82420557399	0.0045655210347
48	0.5	9.74152419423	0.008278798214
56	0.5	9.68662214083	-0.0262071654091
64	0.5	9.57942572933	-0.0199835974813
72	0.5	9.43231289078	0.0223625219915
80	0.5	9.34656223185	-0.0117833786692
96	0.5	9.08441534042	-0.0152578049695
112	0.5	8.78946710335	-0.00264594443453
128	0.5	8.50644351975	-0.0803231935357
144	0.5	8.07348448869	0.0966732024545
160	0.5	7.76509799616	0.100647561585
180	0.5	7.39199160305	0.108306275544

0.5	1	9.99794410962	-5.97755862661e-08
1	1	9.99778056595	-1.5370802278e-05
2	1	9.99707522195	7.3678978195e-06
4	1	9.99427445965	0.000210464158629
8	1	9.98304324381	0.000648679252476
16	1	9.94455498561	-0.00439675852148
24	1	9.87073188665	-0.00327232603567
32	1	9.76895323427	0.00732738887928
40	1	9.64508476683	0.00732946379517
48	1	9.49922679499	0.00551216453233
56	1	9.31439041426	0.00988202102204
64	1	9.13253762204	0.0308427577543
72	1	8.95569134905	-0.0259456883409
80	1	8.67361346421	0.0174892155715
96	1	8.25752122418	0.00378775312443
112	1	7.81458964713	-0.0455675832857
128	1	7.30244572275	-0.0106473477704
144	1	6.88120375561	0.0574051784857
160	1	6.44782680198	-0.105240814728
180	1	6.09458338644	-0.0843612474458

0.5	2	9.99787494065	8.50088091984e-06
1	2	9.99751992944	-1.1446364973e-05
2	2	9.99615096437	-3.53447903739e-05
4	2	9.99002193261	5.95467968305e-05
8	2	9.96774088861	-0.000708989205568
16	2	9.87136508854	0.00516446425492
24	2	9.72227515268	0.0101233632376
32	2	9.52209692393	0.0129224424004
40	2	9.27126909299	-0.0165335179611
48	2	8.99324196016	-0.0521095753508
56	2	8.75776231166	-0.127976188386
64	2	8.37477304142	-0.027624671024
72	2	8.00993139585	-0.0715260238832
80	2	7.64570650551	0.135872223529
96	2	7.11309471521	-0.0811327754011
112	2	6.36229648761	0.0264112640694
128	2	5.91202402439	-0.0796737481382
144	2	5.45399292847	-0.0787517383953
160	2	4.9202500719	0.10850445993
180	2	4.66065510401	-0.0064182275626

0.5	4	9.99775889073	-3.53697717375e-06
1	4	9.99706533824	-7.7758474975e-05
2	4	9.99433028146	-0.000253645140063
4	4	9.98301012577	-0.00104718208145
8	4	9.93308064615	0.000993754797199
16	4	9.76787482527	-0.013427354364
24	4	9.44080292085	0.0231279966132
32	4	9.10727880899	-0.0198847078065
40	4	8.65570905503	-0.000400533142453
48	4	8.12576700089	0.0390794578492
56	4	7.58345430006	0.0460503900773
64	4	7.23173467824	-0.0495021533401
72	4	6.66603811038	0.0739251676938
80	4	6.39816465052	-0.0010515135446
96	4	5.67304845635	-0.0130564785719
112	4	5.12456889734	-0.0201713998886
128	4	4.61126958329	-0.0184131636171
144	4	4.08418496855	0.068260955616
160	4	3.81701411175	-0.0193620926215
180	4	3.48709829227	-0.0246104596978

0.5	6	9.99766037829	-4.33885287187e-05
1	6	9.99657293245	-7.14854870305e-05
2	6	9.99243353859	-0.000171974018414
4	6	9.97471796524	-0.000192771676519
8	6	9.9100270227	-0.00741340881691
16	6	9.636118575	-0.0101603540665
24	6	9.24763938167	-0.0493445957777
32	6	8.73816267775	0.00187287484485
40	6	8.07106794958	0.10886225054
