Angle	Frequency	m	p
10	2	9,9533685202	-0,0033345062
20	2	9,7966080008	0,0293560234
30	2	9,6257102799	-0,0378464591
40	2	9,2383974148	0,0246767816
50	2	8,8622544303	0,0231558035
60	2	8,5375750549	-0,0656862038
75	2	7,851406176	0,0450360133
90	2	7,0654389117	0,2802674478
120	2	6,4593928617	-0,317666238
150	2	5,4077076232	-0,2124101868
180	2	4,5115861978	0,0816623877
			
10	4	9,8989160188	0,010776237
20	4	9,6254747736	0,0108888843
30	4	9,1572836221	0,0306205451
40	4	8,5935957311	0,0467199425
50	4	7,963469716	0,0453271066
60	4	7,5799107514	-0,0574082519
75	4	6,5933459815	0,100676635
90	4	5,9362485022	-0,0775191578
120	4	4,8845540735	-0,1467251062
150	4	3,9716862125	0,0360136344
180	4	3,461216263	0,0158005527
			
10	8	9,7984285057	0,0028022932
20	8	9,2253713429	-0,0083709854
30	8	8,5238156708	0,0202195248
40	8	7,6367849727	0,0856708997
50	8	6,9613391781	-0,2255643809
60	8	6,2784566439	-0,1166677946
75	8	5,598060688	-0,2804607361
90	8	4,4675785039	0,2045192536
120	8	3,7569044427	-0,0399856833
150	8	2,9444079369	0,0058321256
180	8	2,5151147284	0,0123910876
			
10	10	9,7555652151	0,0151837191
20	10	9,009455409	0,1604929241
30	10	8,0679693761	0,1174263638
40	10	7,2567224731	0,2016954505
50	10	6,5575317298	-0,083850059
60	10	5,8359991701	0,007145558
75	10	5,144713503	-0,2900215295
90	10	4,3129696388	-0,0417409936
120	10	3,3289025735	-0,0321038572
150	10	2,7333719367	0,0304519164
180	10	2,1971381571	0,1453454662
			
10	12	9,7075038813	0,0096212041
20	12	8,9749516047	-0,061594096
30	12	7,8927776281	0,0049429405
40	12	7,1575478078	-0,2988617782
50	12	6,1593075252	-0,0812633254
60	12	5,8379628499	-0,4337894459
75	12	4,8607408891	-0,2074091688
90	12	3,9197986485	-0,0173116516
120	12	3,1675291794	-0,060883117
150	12	2,5632427124	0,0017887662
180	12	2,141209558	-0,0070323756
			
10	16	9,5955750357	0,0578627003
20	16	8,6989599479	-0,1155936962
30	16	7,3840064955	0,0991752046
40	16	6,1588987298	0,4170860685
50	16	5,6070178476	-0,0588324574
60	16	4,9337344042	-0,0005276712
75	16	4,0885642219	0,0094103544
90	16	3,6316483291	-0,0678194221
120	16	2,6999233486	-0,0003024928
150	16	2,1787548208	-0,0264844244
180	16	1,7917647382	0,0694519582
			
10	20	9,552004099	-0,0169266037
20	20	8,540011135	-0,2061505924
30	20	7,0518193936	0,0788585172
40	20	6,1454672957	-0,0658089733
50	20	5,2865594401	-0,1393605005
60	20	4,2873340548	0,3506114992
75	20	3,7076830736	0,1261399133
90	20	3,1316666055	0,1425753976
120	20	2,5104244905	-0,0849728116
150	20	1,9544139893	0,0365724574
180	20	1,6764296026	-0,0046989273
